index,Time,Open,High,Low,Close,Daily,Range,ADR,ADR_min,Fractal,Swing_Price,Swing_Type,Hour,Swing_Difference,Time_Difference,Retracement,pip_move,end_index,Swing_Length,Next_Swing,Largest_bar
139817,2020-11-20 16:15:00,1.18629,1.1865,1.18566,1.18573,2020-11-20 00:00:00,0.00084,0.00148225,0.00296,D,1.18566,F,16,-0.00217,0,0.803703704,0.00217,139823,5,F,0.00154
139823,2020-11-20 17:45:00,1.18743,1.18759,1.1868,1.18692,2020-11-20 00:00:00,0.00079,0.00148225,0.00296,U,1.18759,F,17,0.00193,0,0.889400922,0.00193,139852,6,T,0.00154
139852,2020-11-23 01:00:00,1.18558,1.1856,1.18538,1.18548,2020-11-23 00:00:00,0.00022,0.001134,0.00227,D,1.18538,T,1,-0.00221,2,1.14507772,0.00221,139888,29,E,0.00206
139888,2020-11-23 10:00:00,1.18749,1.1879,1.18718,1.18736,2020-11-23 00:00:00,0.00072,0.001134,0.00227,U,1.1879,E,10,0.00252,0,1.140271493,0.00252,139894,36,S,0.00098
139894,2020-11-23 11:30:00,1.18658,1.18742,1.1863,1.18692,2020-11-23 00:00:00,0.00112,0.001134,0.00227,D,1.1863,S,11,-0.0016,0,0.634920635,0.0016,139909,6,T,0.00121
139909,2020-11-23 15:15:00,1.1899,1.19062,1.1898,1.19044,2020-11-23 00:00:00,0.00082,0.001134,0.00227,U,1.19062,T,15,0.00432,0,2.7,0.00432,139924,15,E,0.00265
139924,2020-11-23 19:00:00,1.18164,1.18255,1.18002,1.18118,2020-11-23 00:00:00,0.00253,0.001134,0.00227,D,1.18002,E,19,-0.0106,0,2.453703704,0.0106,139997,15,S,0.00628
139997,2020-11-24 13:15:00,1.18856,1.18942,1.1885,1.18896,2020-11-24 00:00:00,0.00092,0.0011805,0.00236,U,1.18942,S,13,0.0094,1,0.886792453,0.0094,140001,73,F,0.00295
140001,2020-11-24 14:15:00,1.18796,1.1881,1.18711,1.18761,2020-11-24 00:00:00,0.00099,0.0011805,0.00236,D,1.18711,F,14,-0.00231,0,0.245744681,0.00231,140002,4,F,0.00152
140002,2020-11-24 14:30:00,1.18762,1.1883,1.18732,1.18812,2020-11-24 00:00:00,0.00098,0.0011805,0.00236,U,1.1883,F,14,0.00119,0,0.515151515,0.00119,140007,1,T,0.00138
140007,2020-11-24 15:45:00,1.18663,1.18688,1.18612,1.18682,2020-11-24 00:00:00,0.00076,0.0011805,0.00236,D,1.18612,T,15,-0.00218,0,1.831932773,0.00218,140010,5,S,0.00175
140010,2020-11-24 16:30:00,1.187,1.18757,1.18678,1.18687,2020-11-24 00:00:00,0.00079,0.0011805,0.00236,U,1.18757,S,16,0.00145,0,0.665137615,0.00145,140012,3,T,0.0011
140012,2020-11-24 17:00:00,1.18544,1.18586,1.18414,1.18529,2020-11-24 00:00:00,0.00172,0.0011805,0.00236,D,1.18414,T,17,-0.00343,0,2.365517241,0.00343,140016,2,S,0.00292
140016,2020-11-24 18:00:00,1.18642,1.1868,1.18572,1.18572,2020-11-24 00:00:00,0.00108,0.0011805,0.00236,U,1.1868,S,18,0.00266,0,0.775510204,0.00266,140017,4,F,0.00292
140017,2020-11-24 18:15:00,1.18571,1.18646,1.18559,1.18634,2020-11-24 00:00:00,0.00087,0.0011805,0.00236,D,1.18559,F,18,-0.00121,0,0.454887218,0.00121,140021,1,T,0.00251
140021,2020-11-24 19:15:00,1.18778,1.18865,1.18762,1.18822,2020-11-24 00:00:00,0.00103,0.0011805,0.00236,U,1.18865,T,19,0.00306,0,2.52892562,0.00306,140026,4,S,0.00216
